,box_name,channel_name,time,value,label
22609,Box0,Magnet Z,3/23/2020 15:21,-34.69,2 people
22610,Box0,Magnet Y,3/23/2020 15:21,-32.25,2 people
22611,Box0,Magnet X,3/23/2020 15:21,15.375,2 people
22612,Box0,Accel Z,3/23/2020 15:21,9.34,2 people
22613,Box0,Accel Y,3/23/2020 15:21,1.18,2 people
22614,Box0,Accel X,3/23/2020 15:21,2.18,2 people
22615,Box0,Humidity,3/23/2020 15:21,22.403,2 people
22616,Box0,Approx. Altitude,3/23/2020 15:21,-56.814,2 people
22617,Box0,Pressure,3/23/2020 15:21,1020.093,2 people
22618,Box0,Temperature,3/23/2020 15:21,24.26,2 people
22619,Box0,C,3/23/2020 15:21,622,2 people
22620,Box0,B,3/23/2020 15:21,149,2 people
22621,Box0,G,3/23/2020 15:21,169,2 people
22622,Box0,R,3/23/2020 15:21,325,2 people
22623,Box0,Lumosity,3/23/2020 15:21,52,2 people
22624,Box0,Color Temp (K),3/23/2020 15:21,3072,2 people
22625,Box0,Audio,3/23/2020 15:21,0.166,2 people
22626,Box0,PIR,3/23/2020 15:21,1,2 people
22591,Box0,Magnet Z,3/23/2020 15:21,-33.88,2 people
22592,Box0,Magnet Y,3/23/2020 15:21,-32.562,2 people
22593,Box0,Magnet X,3/23/2020 15:21,15.75,2 people
22594,Box0,Accel Z,3/23/2020 15:21,9.44,2 people
22595,Box0,Accel Y,3/23/2020 15:21,1.19,2 people
22596,Box0,Accel X,3/23/2020 15:21,2.19,2 people
22597,Box0,Humidity,3/23/2020 15:21,22.404,2 people
22598,Box0,Approx. Altitude,3/23/2020 15:21,-57.078,2 people
22599,Box0,Pressure,3/23/2020 15:21,1020.125,2 people
22600,Box0,Temperature,3/23/2020 15:21,24.27,2 people
22601,Box0,C,3/23/2020 15:21,619,2 people
22602,Box0,B,3/23/2020 15:21,149,2 people
22603,Box0,G,3/23/2020 15:21,169,2 people
22604,Box0,R,3/23/2020 15:21,324,2 people
22605,Box0,Lumosity,3/23/2020 15:21,52,2 people
22606,Box0,Color Temp (K),3/23/2020 15:21,3070,2 people
22607,Box0,Audio,3/23/2020 15:21,0.205,2 people
22608,Box0,PIR,3/23/2020 15:21,1,2 people
22573,Box0,Magnet Z,3/23/2020 15:21,-20.06,2 people
22574,Box0,Magnet Y,3/23/2020 15:21,-19.562,2 people
22575,Box0,Magnet X,3/23/2020 15:21,8.75,2 people
22576,Box0,Accel Z,3/23/2020 15:21,9.41,2 people
22577,Box0,Accel Y,3/23/2020 15:21,1.26,2 people
22578,Box0,Accel X,3/23/2020 15:21,2.14,2 people
22579,Box0,Humidity,3/23/2020 15:21,22.427,2 people
22580,Box0,Approx. Altitude,3/23/2020 15:21,-57.158,2 people
22581,Box0,Pressure,3/23/2020 15:21,1020.134,2 people
22582,Box0,Temperature,3/23/2020 15:21,24.27,2 people
22583,Box0,C,3/23/2020 15:21,619,2 people
22584,Box0,B,3/23/2020 15:21,148,2 people
22585,Box0,G,3/23/2020 15:21,168,2 people
22586,Box0,R,3/23/2020 15:21,324,2 people
22587,Box0,Lumosity,3/23/2020 15:21,51,2 people
22588,Box0,Color Temp (K),3/23/2020 15:21,3065,2 people
22589,Box0,Audio,3/23/2020 15:21,0.269,2 people
22590,Box0,PIR,3/23/2020 15:21,1,2 people
22555,Box0,Magnet Z,3/23/2020 15:21,-20.87,2 people
22556,Box0,Magnet Y,3/23/2020 15:21,-20,2 people
22557,Box0,Magnet X,3/23/2020 15:21,10.25,2 people
22558,Box0,Accel Z,3/23/2020 15:21,9.42,2 people
22559,Box0,Accel Y,3/23/2020 15:21,1.17,2 people
22560,Box0,Accel X,3/23/2020 15:21,2.18,2 people
22561,Box0,Humidity,3/23/2020 15:21,22.427,2 people
22562,Box0,Approx. Altitude,3/23/2020 15:21,-57.195,2 people
22563,Box0,Pressure,3/23/2020 15:21,1020.138,2 people
22564,Box0,Temperature,3/23/2020 15:21,24.27,2 people
22565,Box0,C,3/23/2020 15:21,618,2 people
22566,Box0,B,3/23/2020 15:21,148,2 people
22567,Box0,G,3/23/2020 15:21,168,2 people
22568,Box0,R,3/23/2020 15:21,323,2 people
22569,Box0,Lumosity,3/23/2020 15:21,51,2 people
