,box_name,channel_name,time,value,label
0,Box0,Magnet Z,2020-06-13 21:48:00,-72.75,T
1,Box0,PIR,2020-06-13 21:48:00,1.0,T
2,Box0,Audio,2020-06-13 21:48:00,0.229,T
3,Box0,Color Temp (K),2020-06-13 21:48:00,3540.0,T
4,Box0,Lumosity,2020-06-13 21:48:00,202.0,T
5,Box0,R,2020-06-13 21:48:00,569.0,T
6,Box0,G,2020-06-13 21:48:00,394.0,T
7,Box0,B,2020-06-13 21:48:00,321.0,T
8,Box0,C,2020-06-13 21:48:00,1291.0,T
9,Box0,Magnet Y,2020-06-13 21:48:00,21.687,T
10,Box0,Pressure,2020-06-13 21:48:00,1019.352,T
11,Box0,Approx. Altitude,2020-06-13 21:48:00,-50.679,T
12,Box0,Humidity,2020-06-13 21:48:00,34.015,T
13,Box0,Accel X,2020-06-13 21:48:00,0.21,T
14,Box0,Accel Y,2020-06-13 21:48:00,-0.87,T
15,Box0,Accel Z,2020-06-13 21:48:00,9.95,T
16,Box0,Magnet X,2020-06-13 21:48:00,46.75,T
17,Box0,Temperature,2020-06-13 21:48:00,23.43,T
18,Box0,PIR,2020-06-13 21:48:01,1.0,T
19,Box0,Audio,2020-06-13 21:48:01,0.239,T
20,Box0,Color Temp (K),2020-06-13 21:48:01,3547.0,T
21,Box0,Lumosity,2020-06-13 21:48:01,201.0,T
22,Box0,R,2020-06-13 21:48:01,569.0,T
23,Box0,G,2020-06-13 21:48:01,394.0,T
24,Box0,B,2020-06-13 21:48:01,322.0,T
25,Box0,C,2020-06-13 21:48:01,1292.0,T
26,Box0,Temperature,2020-06-13 21:48:01,23.44,T
27,Box0,Pressure,2020-06-13 21:48:01,1019.401,T
28,Box0,Magnet Y,2020-06-13 21:48:01,20.875,T
29,Box0,Magnet X,2020-06-13 21:48:01,47.187,T
30,Box0,Accel Z,2020-06-13 21:48:01,9.87,T
31,Box0,Magnet Z,2020-06-13 21:48:01,-73.19,T
32,Box0,Accel X,2020-06-13 21:48:01,0.2,T
33,Box0,Humidity,2020-06-13 21:48:01,34.016,T
34,Box0,Approx. Altitude,2020-06-13 21:48:01,-51.086,T
35,Box0,Accel Y,2020-06-13 21:48:01,-0.86,T
36,Box0,B,2020-06-13 21:48:02,321.0,T
37,Box0,PIR,2020-06-13 21:48:02,1.0,T
38,Box0,Audio,2020-06-13 21:48:02,0.22,T
39,Box0,Color Temp (K),2020-06-13 21:48:02,3540.0,T
40,Box0,Lumosity,2020-06-13 21:48:02,202.0,T
41,Box0,R,2020-06-13 21:48:02,569.0,T
42,Box0,G,2020-06-13 21:48:02,394.0,T
43,Box0,C,2020-06-13 21:48:02,1290.0,T
44,Box0,Magnet Z,2020-06-13 21:48:02,-72.75,T
45,Box0,Pressure,2020-06-13 21:48:02,1019.376,T
46,Box0,Approx. Altitude,2020-06-13 21:48:02,-50.885,T
47,Box0,Humidity,2020-06-13 21:48:02,34.016,T
48,Box0,Accel X,2020-06-13 21:48:02,0.21,T
49,Box0,Accel Y,2020-06-13 21:48:02,-0.85,T
50,Box0,Accel Z,2020-06-13 21:48:02,9.85,T
51,Box0,Magnet X,2020-06-13 21:48:02,46.062,T
52,Box0,Magnet Y,2020-06-13 21:48:02,21.25,T
53,Box0,Temperature,2020-06-13 21:48:02,23.43,T
54,Box0,G,2020-06-13 21:48:03,394.0,T
55,Box0,R,2020-06-13 21:48:03,569.0,T
56,Box0,Lumosity,2020-06-13 21:48:03,202.0,T
57,Box0,B,2020-06-13 21:48:03,321.0,T
58,Box0,Audio,2020-06-13 21:48:03,0.239,T
59,Box0,PIR,2020-06-13 21:48:03,1.0,T
60,Box0,Color Temp (K),2020-06-13 21:48:03,3540.0,T
61,Box0,C,2020-06-13 21:48:03,1290.0,T
62,Box0,Magnet Z,2020-06-13 21:48:03,-73.19,T
63,Box0,Pressure,2020-06-13 21:48:03,1019.357,T
64,Box0,Magnet Y,2020-06-13 21:48:03,21.25,T
65,Box0,Magnet X,2020-06-13 21:48:03,46.062,T
66,Box0,Accel Z,2020-06-13 21:48:03,9.85,T
67,Box0,Temperature,2020-06-13 21:48:03,23.43,T
68,Box0,Accel X,2020-06-13 21:48:03,0.21,T
69,Box0,Humidity,2020-06-13 21:48:03,34.026,T
70,Box0,Approx. Altitude,2020-06-13 21:48:03,-50.721,T
71,Box0,Accel Y,2020-06-13 21:48:03,-0.87,T
72,Box0,C,2020-06-13 21:48:04,1289.0,T
73,Box0,Audio,2020-06-13 21:48:04,0.22,T
74,Box0,Color Temp (K),2020-06-13 21:48:04,3540.0,T
75,Box0,Lumosity,2020-06-13 21:48:04,202.0,T
76,Box0,R,2020-06-13 21:48:04,569.0,T
77,Box0,G,2020-06-13 21:48:04,394.0,T
78,Box0,B,2020-06-13 21:48:04,321.0,T
79,Box0,PIR,2020-06-13 21:48:04,1.0,T
80,Box0,Temperature,2020-06-13 21:48:04,23.44,T
81,Box0,Approx. Altitude,2020-06-13 21:48:04,-50.864,T
82,Box0,Humidity,2020-06-13 21:48:04,34.027,T
83,Box0,Accel X,2020-06-13 21:48:04,0.22,T
84,Box0,Accel Y,2020-06-13 21:48:04,-0.87,T
85,Box0,Accel Z,2020-06-13 21:48:04,9.93,T
86,Box0,Magnet X,2020-06-13 21:48:04,46.75,T
87,Box0,Magnet Y,2020-06-13 21:48:04,21.25,T
88,Box0,Magnet Z,2020-06-13 21:48:04,-73.87,T
89,Box0,Pressure,2020-06-13 21:48:04,1019.374,T
90,Box0,G,2020-06-13 21:48:05,394.0,T
91,Box0,R,2020-06-13 21:48:05,569.0,T
92,Box0,Lumosity,2020-06-13 21:48:05,202.0,T
93,Box0,B,2020-06-13 21:48:05,321.0,T
94,Box0,Audio,2020-06-13 21:48:05,0.205,T
95,Box0,PIR,2020-06-13 21:48:05,1.0,T
96,Box0,Color Temp (K),2020-06-13 21:48:05,3540.0,T
97,Box0,C,2020-06-13 21:48:05,1291.0,T
98,Box0,Magnet Z,2020-06-13 21:48:05,-72.75,T
99,Box0,Pressure,2020-06-13 21:48:05,1019.383,T
100,Box0,Magnet Y,2020-06-13 21:48:05,22.75,T
101,Box0,Magnet X,2020-06-13 21:48:05,46.375,T
102,Box0,Accel Z,2020-06-13 21:48:05,9.97,T
103,Box0,Temperature,2020-06-13 21:48:05,23.43,T
104,Box0,Accel X,2020-06-13 21:48:05,0.2,T
105,Box0,Humidity,2020-06-13 21:48:05,34.027,T
106,Box0,Approx. Altitude,2020-06-13 21:48:05,-50.938,T
107,Box0,Accel Y,2020-06-13 21:48:05,-0.88,T
108,Box0,PIR,2020-06-13 21:48:06,1.0,T
109,Box0,Audio,2020-06-13 21:48:06,0.186,T
110,Box0,Color Temp (K),2020-06-13 21:48:06,3540.0,T
111,Box0,Lumosity,2020-06-13 21:48:06,202.0,T
112,Box0,R,2020-06-13 21:48:06,569.0,T
113,Box0,G,2020-06-13 21:48:06,394.0,T
114,Box0,C,2020-06-13 21:48:06,1290.0,T
115,Box0,B,2020-06-13 21:48:06,321.0,T
116,Box0,Magnet Z,2020-06-13 21:48:06,-73.56,T
117,Box0,Pressure,2020-06-13 21:48:06,1019.358,T
118,Box0,Magnet Y,2020-06-13 21:48:06,22.062,T
119,Box0,Magnet X,2020-06-13 21:48:06,45.687,T
120,Box0,Accel Z,2020-06-13 21:48:06,9.95,T
121,Box0,Temperature,2020-06-13 21:48:06,23.44,T
122,Box0,Accel X,2020-06-13 21:48:06,0.21,T
123,Box0,Humidity,2020-06-13 21:48:06,34.027,T
124,Box0,Approx. Altitude,2020-06-13 21:48:06,-50.726,T
125,Box0,Accel Y,2020-06-13 21:48:06,-0.88,T
126,Box0,PIR,2020-06-13 21:48:07,1.0,T
127,Box0,Audio,2020-06-13 21:48:07,0.195,T
128,Box0,Color Temp (K),2020-06-13 21:48:07,3540.0,T
129,Box0,Lumosity,2020-06-13 21:48:07,202.0,T
130,Box0,R,2020-06-13 21:48:07,569.0,T
131,Box0,G,2020-06-13 21:48:07,394.0,T
132,Box0,B,2020-06-13 21:48:07,321.0,T
133,Box0,C,2020-06-13 21:48:07,1291.0,T
134,Box0,Temperature,2020-06-13 21:48:07,23.43,T
135,Box0,Approx. Altitude,2020-06-13 21:48:07,-50.536,T
136,Box0,Magnet Z,2020-06-13 21:48:07,-72.0,T
137,Box0,Magnet Y,2020-06-13 21:48:07,22.75,T
138,Box0,Magnet X,2020-06-13 21:48:07,45.687,T
139,Box0,Pressure,2020-06-13 21:48:07,1019.334,T
140,Box0,Accel Y,2020-06-13 21:48:07,-0.88,T
141,Box0,Accel X,2020-06-13 21:48:07,0.21,T
142,Box0,Humidity,2020-06-13 21:48:07,34.027,T
143,Box0,Accel Z,2020-06-13 21:48:07,9.96,T
144,Box0,C,2020-06-13 21:48:08,1290.0,T
145,Box0,Audio,2020-06-13 21:48:08,0.225,T
146,Box0,Color Temp (K),2020-06-13 21:48:08,3540.0,T
147,Box0,Lumosity,2020-06-13 21:48:08,202.0,T
148,Box0,R,2020-06-13 21:48:08,569.0,T
149,Box0,G,2020-06-13 21:48:08,394.0,T
150,Box0,B,2020-06-13 21:48:08,321.0,T
151,Box0,PIR,2020-06-13 21:48:08,1.0,T
152,Box0,Temperature,2020-06-13 21:48:08,23.44,T
153,Box0,Approx. Altitude,2020-06-13 21:48:08,-50.605,T
154,Box0,Humidity,2020-06-13 21:48:08,34.039,T
155,Box0,Accel X,2020-06-13 21:48:08,0.22,T
156,Box0,Accel Y,2020-06-13 21:48:08,-0.87,T
157,Box0,Accel Z,2020-06-13 21:48:08,9.99,T
158,Box0,Magnet X,2020-06-13 21:48:08,46.375,T
159,Box0,Magnet Y,2020-06-13 21:48:08,22.062,T
160,Box0,Magnet Z,2020-06-13 21:48:08,-72.75,T
161,Box0,Pressure,2020-06-13 21:48:08,1019.343,T
162,Box0,G,2020-06-13 21:48:09,394.0,T
163,Box0,R,2020-06-13 21:48:09,569.0,T
164,Box0,Lumosity,2020-06-13 21:48:09,202.0,T
165,Box0,B,2020-06-13 21:48:09,321.0,T
166,Box0,Audio,2020-06-13 21:48:09,0.22,T
167,Box0,PIR,2020-06-13 21:48:09,1.0,T
168,Box0,Color Temp (K),2020-06-13 21:48:09,3540.0,T
169,Box0,C,2020-06-13 21:48:09,1290.0,T
170,Box0,Temperature,2020-06-13 21:48:09,23.44,T
171,Box0,Pressure,2020-06-13 21:48:09,1019.369,T
172,Box0,Magnet Y,2020-06-13 21:48:09,21.687,T
173,Box0,Magnet X,2020-06-13 21:48:09,46.062,T
174,Box0,Accel Z,2020-06-13 21:48:09,9.97,T
175,Box0,Magnet Z,2020-06-13 21:48:09,-72.75,T
176,Box0,Accel X,2020-06-13 21:48:09,0.18,T
177,Box0,Humidity,2020-06-13 21:48:09,34.039,T
178,Box0,Approx. Altitude,2020-06-13 21:48:09,-50.821,T
179,Box0,Accel Y,2020-06-13 21:48:09,-0.89,T
180,Box0,B,2020-06-13 21:48:10,321.0,T
181,Box0,PIR,2020-06-13 21:48:10,1.0,T
182,Box0,Audio,2020-06-13 21:48:10,0.259,T
183,Box0,Color Temp (K),2020-06-13 21:48:10,3544.0,T
184,Box0,Lumosity,2020-06-13 21:48:10,200.0,T
185,Box0,R,2020-06-13 21:48:10,568.0,T
186,Box0,G,2020-06-13 21:48:10,393.0,T
187,Box0,C,2020-06-13 21:48:10,1289.0,T
188,Box0,Temperature,2020-06-13 21:48:10,23.44,T
189,Box0,Pressure,2020-06-13 21:48:10,1019.376,T
190,Box0,Magnet Y,2020-06-13 21:48:10,22.062,T
191,Box0,Magnet X,2020-06-13 21:48:10,46.062,T
192,Box0,Accel Z,2020-06-13 21:48:10,9.97,T
193,Box0,Magnet Z,2020-06-13 21:48:10,-72.37,T
194,Box0,Accel X,2020-06-13 21:48:10,0.21,T
195,Box0,Humidity,2020-06-13 21:48:10,34.05,T
196,Box0,Approx. Altitude,2020-06-13 21:48:10,-50.885,T
197,Box0,Accel Y,2020-06-13 21:48:10,-0.87,T
198,Box0,B,2020-06-13 21:48:11,321.0,T
199,Box0,PIR,2020-06-13 21:48:11,1.0,T
200,Box0,Audio,2020-06-13 21:48:11,0.19,T
201,Box0,Color Temp (K),2020-06-13 21:48:11,3540.0,T
202,Box0,Lumosity,2020-06-13 21:48:11,202.0,T
203,Box0,R,2020-06-13 21:48:11,569.0,T
204,Box0,G,2020-06-13 21:48:11,394.0,T
205,Box0,C,2020-06-13 21:48:11,1290.0,T
206,Box0,Magnet Z,2020-06-13 21:48:11,-73.87,T
207,Box0,Pressure,2020-06-13 21:48:11,1019.376,T
208,Box0,Approx. Altitude,2020-06-13 21:48:11,-50.88,T
209,Box0,Humidity,2020-06-13 21:48:11,34.039,T
210,Box0,Accel X,2020-06-13 21:48:11,0.21,T
211,Box0,Accel Y,2020-06-13 21:48:11,-0.87,T
212,Box0,Accel Z,2020-06-13 21:48:11,9.9,T
213,Box0,Magnet X,2020-06-13 21:48:11,46.062,T
214,Box0,Magnet Y,2020-06-13 21:48:11,21.25,T
