,box_name,channel_name,time,value,label
0,Box0,Magnet Z,2020-05-30 17:20:18,-70.87,"1,2,3,4,5"
1,Box0,PIR,2020-05-30 17:20:18,1.0,"1,2,3,4,5"
2,Box0,Audio,2020-05-30 17:20:18,0.576,"1,2,3,4,5"
3,Box0,Color Temp (K),2020-05-30 17:20:18,4354.0,"1,2,3,4,5"
4,Box0,Lumosity,2020-05-30 17:20:18,344.0,"1,2,3,4,5"
5,Box0,R,2020-05-30 17:20:18,1159.0,"1,2,3,4,5"
6,Box0,G,2020-05-30 17:20:18,890.0,"1,2,3,4,5"
7,Box0,B,2020-05-30 17:20:18,934.0,"1,2,3,4,5"
8,Box0,C,2020-05-30 17:20:18,2690.0,"1,2,3,4,5"
9,Box0,Magnet Y,2020-05-30 17:20:18,-5.25,"1,2,3,4,5"
10,Box0,Pressure,2020-05-30 17:20:18,1010.684,"1,2,3,4,5"
11,Box0,Approx. Altitude,2020-05-30 17:20:18,21.389,"1,2,3,4,5"
12,Box0,Humidity,2020-05-30 17:20:18,63.477,"1,2,3,4,5"
13,Box0,Accel X,2020-05-30 17:20:18,-0.09,"1,2,3,4,5"
14,Box0,Accel Y,2020-05-30 17:20:18,-1.11,"1,2,3,4,5"
15,Box0,Accel Z,2020-05-30 17:20:18,9.9,"1,2,3,4,5"
16,Box0,Magnet X,2020-05-30 17:20:18,19.5,"1,2,3,4,5"
17,Box0,Temperature,2020-05-30 17:20:18,24.26,"1,2,3,4,5"
18,Box0,PIR,2020-05-30 17:20:19,1.0,"1,2,3,4,5"
19,Box0,Audio,2020-05-30 17:20:19,1.328,"1,2,3,4,5"
20,Box0,Color Temp (K),2020-05-30 17:20:19,4352.0,"1,2,3,4,5"
21,Box0,Lumosity,2020-05-30 17:20:19,340.0,"1,2,3,4,5"
22,Box0,R,2020-05-30 17:20:19,1153.0,"1,2,3,4,5"
23,Box0,G,2020-05-30 17:20:19,883.0,"1,2,3,4,5"
24,Box0,B,2020-05-30 17:20:19,928.0,"1,2,3,4,5"
25,Box0,C,2020-05-30 17:20:19,2678.0,"1,2,3,4,5"
26,Box0,Temperature,2020-05-30 17:20:19,24.25,"1,2,3,4,5"
27,Box0,Pressure,2020-05-30 17:20:19,1010.689,"1,2,3,4,5"
28,Box0,Magnet Y,2020-05-30 17:20:19,-3.75,"1,2,3,4,5"
29,Box0,Magnet X,2020-05-30 17:20:19,19.062,"1,2,3,4,5"
30,Box0,Accel Z,2020-05-30 17:20:19,9.99,"1,2,3,4,5"
31,Box0,Magnet Z,2020-05-30 17:20:19,-70.5,"1,2,3,4,5"
32,Box0,Accel X,2020-05-30 17:20:19,-0.06,"1,2,3,4,5"
33,Box0,Humidity,2020-05-30 17:20:19,63.282,"1,2,3,4,5"
34,Box0,Approx. Altitude,2020-05-30 17:20:19,21.638,"1,2,3,4,5"
35,Box0,Accel Y,2020-05-30 17:20:19,-1.1,"1,2,3,4,5"
36,Box0,B,2020-05-30 17:20:20,888.0,"1,2,3,4,5"
37,Box0,PIR,2020-05-30 17:20:20,1.0,"1,2,3,4,5"
38,Box0,Audio,2020-05-30 17:20:20,1.021,"1,2,3,4,5"
39,Box0,Color Temp (K),2020-05-30 17:20:20,4302.0,"1,2,3,4,5"
40,Box0,Lumosity,2020-05-30 17:20:20,325.0,"1,2,3,4,5"
41,Box0,R,2020-05-30 17:20:20,1122.0,"1,2,3,4,5"
42,Box0,G,2020-05-30 17:20:20,849.0,"1,2,3,4,5"
43,Box0,C,2020-05-30 17:20:20,2598.0,"1,2,3,4,5"
44,Box0,Magnet Z,2020-05-30 17:20:20,-70.5,"1,2,3,4,5"
45,Box0,Pressure,2020-05-30 17:20:20,1010.688,"1,2,3,4,5"
46,Box0,Approx. Altitude,2020-05-30 17:20:20,21.355,"1,2,3,4,5"
47,Box0,Humidity,2020-05-30 17:20:20,63.112,"1,2,3,4,5"
48,Box0,Accel X,2020-05-30 17:20:20,-0.05,"1,2,3,4,5"
49,Box0,Accel Y,2020-05-30 17:20:20,-1.07,"1,2,3,4,5"
50,Box0,Accel Z,2020-05-30 17:20:20,9.9,"1,2,3,4,5"
51,Box0,Magnet X,2020-05-30 17:20:20,18.0,"1,2,3,4,5"
52,Box0,Magnet Y,2020-05-30 17:20:20,-4.875,"1,2,3,4,5"
53,Box0,Temperature,2020-05-30 17:20:20,24.25,"1,2,3,4,5"
